Sample,Gen_sp（属_种）(40属，66种）,菌根类型,dbh(cm)（胸径）,height(m)（树高）,TotalRootFreshMass(g)（总根鲜质量）,RootTipsFreshMass(g)（根尖鲜质量）,RemainingRootFreshMass(g)（剩余根鲜质量）,RemainingRootDryMass(g)（剩余根干质量）,RootTipsDryMass(g)（根尖干质量）,TotalRootDryMass(g)（总根干质量）,RootTipMassFraction(%)（根尖质量分数）,RootDryMatterContent(mg/g)（根系干物质含量）,RootWaterContent(%)（根系含水量）,RootLength(cm)（根长),SpecificRootLength(cm/g)(比根长）,RootArea(cm²)（根表面积）,SpecifcRootArea(cm²/g)（比根面积）,RootAvgDiam(mm)（根平均直径）,RootLenPerVol(cm/m³)（根长密度）,RootVolume(cm³)（根体积）,RootTissueDensity(g/cm³)（根组织密度）,NRootTips（根尖数）,branchiness(tips/length)（分枝性）,SRTipAbund(tips/g)（比根尖丰度）,Forks（交叉点）,Crossings（交叉数）
11,Canarium subulatum,AM,"3,8",5,"0,6053333333","0,135","0,4703333333","0,1173333333","0,0385155","0,1558488333","29,23900041","252,5799386","74,74200614","96,06823333","639,2850597","23,63946667","161,0827846","0,7963666667","96,06823333","0,465","0,3269903957","219,3333333","2,101191474","1322,32329","232,3333333",6
12,Celtis tetrandra,AM,"2,15",4,"0,3378333333","0,09983333333","0,238","0,098","0,02848245","0,12648245","25,14285211","368,1113246","63,18886754","217,3644667","2011,603134","28,39085","255,8615988","0,4380166667","217,3644667","0,3021666667","0,4351266135","700,3333333","3,312103236","6509,889985","1073,666667","89,5"
13,Celtis timorensis,AM,"3,35","4,75","0,2708333333","0,08883333333","0,182","0,0695","0,02534415","0,09484415","29,97470124","345,7914108","65,42085893","166,4755167","2065,524118","22,8275","274,9286398","0,4592333333","166,4755167","0,2546666667","0,3895994065","477,3333333","2,959848278","6051,033919",734,49
14,Cinnamomum contractum,AM,"4,35","5,65","0,4816666667","0,2126666667","0,269","0,0845","0,0606738","0,1451738","45,41568144","299,4259892","70,05740108","103,7123833","745,3650217","24,47091667","178,3533685","0,7723","103,7123833","0,4646666667","0,3183755348","283,1666667","2,735286002","1921,302507",208,"7,666666667"
15,Cinnamomum glanduliferum,AM,"10,4","7,5","0,7285","0,2873333333","0,4411666667","0,1171666667","0,0819762","0,1991428667","37,47406928","275,7083765","72,42916235","65,61113333","327,6871279","19,2157","98,44169421","1,083466667","65,61113333","0,47","0,4106203567","105,8333333","2,31240273","576,5325255",113,"2,666666667"
16,Cleidion brevipetiolatum,AM,"3,6","4,6","0,728","0,4203333333","0,3076666667","0,064","0,1199211","0,1839211","64,60222386","253,2395002","74,67604998","177,2662","954,4630677","39,33273333","212,4338845","0,71","177,2662","0,695","0,266254154","227,3333333","1,258465084","1208,698434","297,3333333","14,33333333"
17,Croton kongensis,AM,"2,25","3,525","0,55325","0,2211666667","0,3320833333","0,08683333333","0,06309885","0,1499321833","38,70154012","277,2914534","72,27085467","115,4475833","707,2677978","23,66375833","149,7111379","0,8679166667","115,4475833","0,4215833333","0,3769647948","188,3333333","1,740170836","1196,269727","295,75","14,25"
18,Cryptocarya acutifolia,AM,"4,34","3,98","0,6333333333","0,2234","0,4099333333","0,1399333333","0,06373602","0,2036693533","31,9641118","331,5583611","66,84416389","65,79952","346,8880043","21,43005333","109,8410866","1,050293333","65,79952","0,5634","0,3806649337","137,4","2,09745903","721,0763407","64,26666667","0,8666666667"
19,Cryptocarya chinensis,AM,"11,7","7,9","0,536","0,234","0,302","0,097","0,0667602","0,1637602","41,25630762","305,5522351","69,44477649","95,84913333","591,812092","24,86033333","153,3625813","0,8502","95,84913333","0,5176666667","0,3206704473",272,"2,874744838","1667,231279","123,6666667","4,333333333"
20,Cryptocarya yunnanensis,AM,"3,04","5,28","1,4428","0,6990666667","0,7437333333","0,2004666667","0,19944372","0,3999103867","46,11632523","292,0977432","70,79022568","112,9395","335,0886525","42,11266667","114,3971937","1,15118","112,9395","1,280333333","0,3264956998","246,1333333","2,388436956","838,9641869","93,93333333","2,2"
21,Diospyros nigricortex,AM,"2,5",4,"1,010666667","0,337","0,6736666667","0,236","0,0961461","0,3321461","26,92422011","329,4927909","67,05072091","80,86543333","239,093023","28,92733333","86,34899352","1,220966667","80,86543333","0,846","0,3968418563",71,"0,953982571","208,5041761","96,33333333",4
22,Ficus fistulosa,AM,"1,6","2,1","0,6676666667","0,1416666667","0,526","0,1543333333","0,0404175","0,1947508333","21,30830127","286,1948632","71,38051368","162,3269","1017,348316","29,3582","176,0812202","0,5635333333","162,3269","0,4246666667","0,4399041437",555,"3,521255841","3736,546995","567,6666667","30,33333333"
23,Ficus hirta,AM,"1,966666667","3,933333333","0,3154444444","0,1263333333","0,1891111111","0,05777777778","0,0360429","0,09382067778","36,22093872","294,2107592","70,57892408","239,1059667","2675,620638","28,93984444","323,0783361","0,4167333333","239,1059667","0,2844444444","0,357864044","763,5555556","3,432799832","8961,743999","1005,333333","87,44444444"
24,Ficus langkokensis,AM,"4,8","4,35","1,465666667","0,348","1,117666667","0,3303333333","0,0992844","0,4296177333","25,74574232","285,3282218","71,46717782","382,0310167","1025,871538","66,68093333","171,8565021","0,6346833333","382,0310167","1,004166667","0,4248023643","1210,333333","3,128078812","3359,337884","1912,833333","131,3333333"
25,Ficus maclellandi,AM,"4,866666667","3,833333333","0,6416666667","0,2625555556","0,3791111111","0,09388888889","0,0749071","0,1687959889","47,89689252","258,8665744","74,11334256","151,6804333","1321,509229","31,12632222","233,0880484","0,6567333333","151,6804333","0,5314444444","0,3318984063","485,5555556","3,635102667","5252,553584","386,4444444","19,22222222"
26,Garcinia cowa,AM,"2,35","3,35","0,404","0,1473333333","0,2566666667","0,07566666667","0,0420342","0,1177008667","39,10751326","287,3335615","71,26664385","115,1045667","1170,780071","21,89923333","214,2905637","0,6328833333","115,1045667","0,341","0,3327801397","151,3333333","1,273264788","1590,428603","272,5","17,66666667"
27,Garcinia xanthochymus,AM,"3,4",4,"1,188666667","0,3993333333","0,7893333333","0,302","0,1139298","0,4159298","31,22768521","336,9429253","66,30570747","197,6003","563,5591124","47,2287","131,4571575","0,7549333333","197,6003","0,901","0,4428210147","359,3333333","1,871045885","1109,77538","430,6666667","21,33333333"
28,Gironniera subaequalis,AM,3,"3,75","0,4386666667","0,1466666667","0,292","0,08416666667","0,041844","0,1260106667","34,17725435","284,320897","71,5679103","223,4153333","1842,307921","31,24316667","258,4633912","0,4822","223,4153333","0,3606666667","0,344065272",515,"2,274250656","4387,446663","813,5","67,16666667"
29,Glochidion lanceolarium,AM,"8,7",9,"0,91","0,2306666667","0,6793333333","0,1633333333","0,0658092","0,2291425333","29,9276062","251,0557753","74,89442247","191,1620333","931,8804924","39,75753333","189,2576297","0,6598","191,1620333","0,6616666667","0,3348179317",528,"2,740171337","2492,774556","1007,666667","49,66666667"
30,Goniothalamus griffithii,AM,"3,02","3,54","1,025066667","0,3826","0,6424666667","0,1566666667","0,10915578","0,2658224467","39,209502","254,7493126","74,52506874","72,09928","282,046235","26,72342","104,5181283","1,362373333","72,09928","0,837","0,3284731851","160,2666667","2,241659253","656,9189399","82,53333333","1,6"
31,Harpullia cupanioides,AM,"3,8",5,"0,2913333333","0,08833333333","0,203","0,08366666667","0,0252015","0,1088681667","22,78265618","370,5128255","62,94871745","71,93353333","786,9377292","15,17946667","157,9187804","0,6747","71,93353333","0,2576666667","0,4089678093",197,"2,691883925","2237,354904","217,3333333",3
32,Horsfieldia amygdalina,AM,"4,275","5,225","2,024375","0,80875","1,215625","0,28925","0,230736375","0,519986375","41,12836198","256,4972244","74,35027756","67,0694375","123,9889417","38,425625","73,0387872","1,9258625","67,0694375","1,76975","0,2938803848","118,75","1,763239308","213,7832277","44,75","0,25"
33,Horsfieldia kingii,AM,"5,6","5,7","2,82","1,114666667","1,705333333","0,3396666667","0,3180144","0,6576810667","49,54419936","230,3729447","76,96270553","103,143","163,0633357","58,99856667","92,58157353","1,814266667","103,143","2,688","0,24051999",168,"1,619252288","267,4435273","54,66666667",1
34,Knema tenuinervia,AM,"2,6","3,3","1,157333333","0,5326666667","0,6246666667","0,1863333333","0,1519698","0,3383031333","45,8800927","291,5838186","70,84161814","66,0024","199,5468038","29,08023333","87,66691065","1,4055","66,0024","1,021","0,3329339873","94,66666667","1,398869712","296,3891461",36,"0,6666666667"
35,Lepisanthes senegalensis,AM,"2,5",4,"0,7113333333","0,2496666667","0,4616666667","0,1843333333","0,0712299","0,2555632333","31,62081682","349,9984167","65,00015833","163,7093","767,8417557","34,8071","158,2620357","0,6775","163,7093","0,5916666667","0,4192437943","495,3333333","3,008283663","2339,621403","601,6666667","16,66666667"
36,Lindera metcalfiana,AM,4,"4,75","1,09","0,4811666667","0,6088333333","0,1731666667","0,13727685","0,3104435167","42,39955337","268,7391634","73,12608366","155,0269667","595,1422702","36,44048333","143,4245512","0,8062666667","155,0269667","0,7063333333","0,4083085397",312,"2,679178013","1650,751831","234,1666667","11,83333333"
37,Litsea elongata,AM,"2,35","3,6","0,5576666667","0,1016666667","0,456","0,1381666667","0,0290055","0,1671721667","21,22574503","290,807797","70,9192203","49,68218333","332,7431185","16,94928333","112,6616734","1,109283333","49,68218333","0,4665","0,3466311925","142,5","2,926442413","929,0279495","61,5","0,1666666667"
38,Litsea martabanica,AM,,,"0,358","0,126","0,232","0,077","0,0359478","0,1129478","36,97584451","304,9850657","69,50149343","101,7476","999,6060789","22,33426667","217,2568674","0,6981333333","101,7476","0,3906666667","0,279750012","199,3333333","1,946780806","1817,038806",170,"6,333333333"
39,Litsea mollis,AM,"2,4",4,"0,2513333333","0,05033333333","0,201","0,049","0,0143601","0,0633601","25,02843353","255,3119528","74,46880472","27,83163333","573,987985","8,781833333","160,5663711","0,9671","27,83163333","0,2253333333","0,2708254483",112,"4,289260915","2759,733408","34,66666667","0,6666666667"
40,Litsea salicifolia,AM,3,5,"1,043166667","0,3943333333","0,6488333333","0,1676666667","0,1125033","0,2801699667","45,11734741","294,3173954","70,56826046","111,6592","536,9765028","33,65815","146,0186816","0,9760666667","111,6592","0,8605","0,3217851303","198,5","1,91898992","999,2818781","149,1666667","2,666666667"
41,Litsea szemois,AM,"3,05","4,2","1,372333333","0,7961666667","0,5761666667","0,1738333333","0,22714635","0,4009796833","56,01274751","289,1697111","71,08302889","178,8296667","465,4875525","43,0796","113,1742227","0,7795166667","178,8296667","0,8283333333","0,486868251","302,5","1,622631731","752,4546355","400,6666667","18,5"
42,Litsea umbellata,AM,"5,233333333","4,966666667","0,8854444444","0,4396666667","0,4457777778","0,1242222222","0,1254369","0,2496591222","48,77821079","309,6593164","69,03406836","109,3622","468,7493894","30,60712222","131,8131359","0,9040222222","109,3622","0,6901111111","0,3850482788","187,1111111","1,73076302","833,2348207","202,2222222","3,888888889"
43,Machilus nanmu,AM,"2,1",4,"1,206","0,4353333333","0,7706666667","0,2033333333","0,1242006","0,3275339333","37,68964417","277,4217406","72,25782594","121,3957667","405,6126595","40,9657","136,2220127","1,0753","121,3957667","1,100333333","0,29539433","194,3333333","1,55549439","618,8079037","81,66666667",2
44,Machilus rufipes,AM,"2,583333333","3,833333333","0,5741666667","0,1831111111","0,3910555556","0,1130555556","0,0522416","0,1652971556","35,6550202","286,9715954","71,30284046","82,36133333","577,2812443","22,33129444","150,9428616","0,9307666667","82,36133333","0,5085555556","0,3267309389","161,1111111","2,031435562","1111,62514","117,1111111","3,388888889"
45,Machilus tenuipilis,AM,"2,3",2,"0,261","0,07533333333","0,1856666667","0,052","0,0214926","0,0734926","33,85733849","283,4711813","71,65288187","34,0494","525,7207602","9,982333333","150,1734144","0,9326666667","34,0494","0,2353333333","0,3308658697",76,"2,531315194","1135,140598",40,"0,3333333333"
46,Micromelum integerrimum,AM,"1,5",3,"0,2986666667","0,1106666667","0,188","0,06","0,0315732","0,0915732","31,67439033","313,2969351","68,67030649","107,3686333","1159,532663","20,02956667","216,3337022","0,6253","107,3686333","0,303","0,3090894497",238,"2,250665275","2525,047332","297,3333333","13,66666667"
47,Myrsine seguinii,AM,"2,2","3,2","0,283","0,1053333333","0,1776666667","0,069","0,0300516","0,0990516","25,7803288","356,6560891","64,33439109","76,84126667","695,8438762","14,92876667","139,0437054","0,6442","76,84126667","0,2316666667","0,4579411877","86,33333333","1,082289747","761,4126796",83,4
48,Phoebe lanceolata,AM,"3,375","5,2","0,3805833333","0,1635833333","0,217","0,06808333333","0,046670325","0,1147536583","42,11339569","301,5213178","69,84786822","83,92715","784,8845414","20,05308333","183,7704256","0,798625","83,92715","0,3886666667","0,2964621048","291,75","4,970317435","3359,552553","169,6666667","4,666666667"
49,Phoebe puwenensis,AM,"14,3",9,"0,2916666667","0,124","0,1676666667","0,04866666667","0,0353772","0,08404386667","40,72251188","289,1923418","71,08076582","44,73356667","554,8027839","10,826","131,79942","0,7614333333","44,73356667","0,2093333333","0,4003361993","88,66666667","2,121534556","1211,188151","62,66666667","0,6666666667"
50,Pittosporum kerrii,AM,"5,2","5,4","0,795","0,2066666667","0,5883333333","0,148","0,058962","0,206962","28,4003548","268,5275119","73,14724881","82,79836667","396,0354391","26,41366667","126,6321307","1,028066667","82,79836667","0,672","0,3131233203","93,66666667","1,171242091","451,4684592",107,"5,333333333"
51,Polyalthia simiarum,AM,"5,5","6,625","1,143166667","0,5210833333","0,6220833333","0,1250833333","0,148665075","0,2737484083","52,37795873","245,8717275","75,41282725","102,096375","392,3519209","34,66704167","129,8540011","1,132258333","102,096375","0,9686666667","0,2929630532","141,25","1,508368518","566,1130533","101,5","1,666666667"
52,Semecarpus reticulata,AM,"4,55","6,6","0,4675","0,2001666667","0,2673333333","0,08166666667","0,05710755","0,1387742167","35,57347467","321,7001972","67,82998028","115,8515167","793,8860521","26,4129","177,4772603","0,7107666667","115,8515167","0,4871666667","0,3691479745","368,5","3,737662148","2722,780896","328,1666667","7,5"
53,Toxicodendron acuminatum,AM,"10,4","8,2","0,5086666667","0,2476666667","0,261","0,075","0,0706593","0,1456593","46,90101799","296,7194556","70,32805444","166,1011667","1244,041789","28,7163","212,3283851","0,5455666667","166,1011667","0,3983333333","0,406961912","414,6666667","2,506738511","3115,83016",771,"38,66666667"
54,Xanthophyllum flavescens,AM,"6,666666667","7,9","0,3488888889","0,05522222222","0,2936666667","0,1142222222","0,0157549","0,1299771222","15,09301347","356,4598188","64,35401812","50,54088889","590,4063428","12,36011111","127,7949397","0,7772444444","50,54088889","0,256","0,4610836543","189,2222222","3,930653643","2386,095084","84,77777778","1,333333333"
55,Castanopsis calathiformis,ECM,"2,5",4,"0,5493333333","0,1573333333","0,392","0,1403333333","0,0448872","0,1852205333","25,15963682","340,3523087","65,96476913","112,4764667","669,6479927","23,61236667","133,9419744","0,6577333333","112,4764667","0,402","0,4624145197","242,6666667","2,218797287","1553,312083","261,3333333","11,33333333"
56,Castanopsis fleuryi,ECM,"3,1","5,833333333","0,5318888889","0,2608888889","0,271","0,08055555556","0,0744316","0,1549871556","45,93258476","300,8634903","69,91365097","210,1770667","1412,061818","31,37237778","213,5382033","0,4843","210,1770667","0,3762222222","0,4167806998",546,"2,524841529","3428,057634","672,2222222","45,77777778"
57,Engelhardia roxburghiana,ECM,"13,3",8,"0,264","0,03866666667","0,2253333333","0,07533333333","0,0110316","0,08636493333","29,27916423","279,3840094","72,06159906","29,5203","921,5763619","7,1944","167,5704372","0,8232","29,5203","0,1583333333","0,4410482753",96,"3,431966194","2661,261548","54,66666667",2
58,Engelhardia spicata,ECM,"2,2","2,6","0,482","0,2926666667","0,1893333333","0,07733333333","0,0834978","0,1608311333","50,83960901","341,0258762","65,89741238","122,2915667","761,7086149","28,74936667","176,8679343","0,7403","122,2915667","0,5386666667","0,3188457517",210,"1,714806214","1341,334353",323,"6,666666667"
59,Lithocarpus bacgiangensis,ECM,"2,25","4,5","0,3053333333","0,07316666667","0,2321666667","0,09933333333","0,02087445","0,1202077833","17,70539748","391,8789686","60,81210314","59,23355","501,648984","13,17311667","111,5161078","0,71655","59,23355","0,235","0,5057726625","199,6666667","3,385536213","1724,139172","151,6666667","4,666666667"
60,Lithocarpus fenestratus,ECM,"6,2","6,75","0,7141666667","0,1803333333","0,5338333333","0,2331666667","0,0514491","0,2846157667","23,51987083","387,1852757","61,28147243","82,08505","292,6948798","20,53533333","77,47692603","0,8726833333","82,08505","0,424","0,620138462","300,5","4,606630728","1344,221217","264,1666667","8,5"
61,Lithocarpus grandifolius,ECM,"4,333333333",7,"0,4367777778","0,1508888889","0,2858888889","0,122","0,0430486","0,1650486","28,53974609","372,0366121","62,79633879","131,1825667","918,7992687","23,22336667","156,5430932","0,5902666667","131,1825667","0,3357777778","0,4919028516",281,"2,074360872","1968,307325",412,24
62,Lithocarpus variolosus,ECM,"12,3","9,1","0,3463333333","0,06033333333","0,286","0,113","0,0172131","0,1302131","13,92339695","378,8857745","62,11142255","86,00696667","699,5786351","17,42576667","140,2729705","0,6664","86,00696667","0,284","0,4761420797",360,"4,255029347","2924,596934",284,9
63,Castanopsis echinocarpa,ECM,"3,02","4,12","0,4978666667","0,1937333333","0,3041333333","0,0986","0,05527212","0,15387212","36,54072349","312,8394553","68,71605447","203,94908","1707,376878","30,08807333","241,938156","0,4951466667","203,94908","0,3654666667","0,3937857783","595,1333333","2,817050844","5066,314856","840,2","59,73333333"
64,Castanopsis ferox,ECM,"4,4","2,5","0,6185","0,195","0,4235","0,1428333333","0,0556335","0,1984668333","26,53296249","327,620435","67,2379565","197,1157667","942,675674","35,2242","172,8600502","0,6771166667","197,1157667","0,5231666667","0,4009948833","547,6666667","3,168966512","2708,440283","787,3333333","43,66666667"
65,Castanopsis hystrix,ECM,"6,56","8,5","0,5396666667","0,1755714286","0,3640952381","0,1351428571","0,05009052857","0,1852333857","31,77782112","340,297973","65,9702027","176,6385476","1234,691893","29,5475381","197,2389919","0,5584761905","176,6385476","0,4046190476","0,4569339","468,3809524","2,531453782","3237,25432","608,952381",33
66,Castanopsis indica,ECM,"9,05","7,4","0,6493333333","0,1649166667","0,4844166667","0,1901666667","0,0429852","0,2331518667","18,14068377","352,7136467","64,72863507","78,873575","381,4351275","18,605775","88,06449841","0,9073","78,873575","0,3951666667","0,5957926879","289,1666667","3,190405347","1417,51064","218,25","9,5"
